 Total Power Output at Wind Speeds:
 V (m/s)     P (kW)
    3       -0.14957
    4        0.61920
    5        1.83552
    6        3.50772
    7        5.60421
    8        7.49931
    9        9.15686
   10        9.67658
   11        9.68320
   12        9.07729
   13        7.72295
   14        5.73082
   15        3.62741
 Sectonal Force Coefs at r/R Values for V = 7 m/s
 r/R     C_normal     C_tangential
0.275        0.85995        0.09740
0.325        0.89521        0.11260
0.375        0.89925        0.11649
0.425        0.89751        0.11480
0.475        0.88919        0.10908
0.525        0.86641        0.09992
0.575        0.84459        0.09150
0.625        0.82486        0.08416
0.675        0.80694        0.07772
0.725        0.79110        0.07222
0.775        0.77024        0.06707
0.825        0.74556        0.06171
0.875        0.71244        0.05481
0.925        0.65691        0.04400
0.975        0.52273        0.02187
